"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"OPA2210IDGKR","Texas Instruments","296-OPA2210IDGKRCT-ND","D.1","U1","Cut Tape (CT)","Active","5","4.31000","$21.55","2495","6 Weeks","IC OPAMP GP 2 CIRCUIT 8VSSOP","ROHS3 Compliant","Not Available","Not Available"
"OPA1611AIDR","Texas Instruments","296-47811-1-ND","D.2","U3","Cut Tape (CT)","Active","5","4.08000","$20.40","4787","16 Weeks","IC AUDIO 1 CIRCUIT 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"R82EC1470DQ50J","KEMET","399-5449-1-ND","C101","D.3","Cut Tape (CT)","Active","16","0.17700","$2.83","5409","Not Available","CAP FILM 4700PF 5% 100VDC RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"PCM1794ADBR","Texas Instruments","296-21537-1-ND","D.4","U151","Cut Tape (CT)","Active","2","13.08000","$26.16","1099","6 Weeks","IC DAC/AUDIO 24BIT 200K 28SSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"HHXD350ARA470MF80G","United Chemi-Con","565-HHXD350ARA470MF80GCT-ND","D.5","C16 C23 C15 C22 C155 C156 C355 C356","Cut Tape (CT)","Active","8","0.67000","$5.36","532","16 Weeks","CAP ALUM HYBRID 47UF 20% 35V SMD","ROHS3 Compliant","Not Available","Not Available"
"LM337IMPX/NOPB","Texas Instruments","LM337IMPX/NOPBCT-ND","D.6","U6","Cut Tape (CT)","Active","1","1.58000","$1.58","1713","6 Weeks","IC REG LIN NEG ADJ 1A SOT223-4","ROHS3 Compliant","Lead free","REACH Unaffected"
"R60DF4330506AJ","KEMET","399-9672-ND","M.6","C5","Bulk","Active","1","0.91000","$0.91","786","15 Weeks","CAP FILM 3.3UF 5% 63VDC RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"74279220181","Würth Elektronik","732-6123-1-ND","M.36","FB1","Cut Tape (CT)","Active","4","0.32000","$1.28","4667","12 Weeks","FERRITE BEAD 180 OHM 0805 1LN","ROHS3 Compliant","Lead free","REACH Unaffected"
"74AUP1G74DC,125","Nexperia USA Inc.","1727-6029-1-ND","M.3","U19","Cut Tape (CT)","Active","2","0.48000","$0.96","6638","8 Weeks","IC FF D-TYPE SNGL 1BIT 8VSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74LVC541ADBR","Texas Instruments","296-8518-1-ND","I.11","U2","Cut Tape (CT)","Active","1","0.53000","$0.53","3437","6 Weeks","IC BUF NON-INVERT 3.6V 20SSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
