"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CC0805FRNPO0BN102","Yageo","311-3585-1-ND","I.1","C31","Cut Tape (CT)","Active","13","0.21500","$2.79","7889","33 Weeks","CAP CER 1000PF 100V NPO 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0603KRX7R8BB104","Yageo","311-1341-1-ND","I.2","C18","Cut Tape (CT)","Active","15","0.04600","$0.69","10759239","33 Weeks","CAP CER 0.1UF 25V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTC2512CDKD-24#PBF","Analog Devices Inc.","LTC2512CDKD-24#PBF-ND","I.3","U102","Tube","Active","3","24.10000","$72.30","79","20 Weeks","IC ADC 24BIT SAR 24DFN","ROHS3 Compliant","Lead free","REACH Unaffected"
"TNPW1206499RBEEN","Vishay Dale","541-3878-2-ND","omit","","Tape & Reel (TR)","Active","0","0.00000","$0.00","0","27 Weeks","RES 499 OHM 0.1% 1/4W 1206","ROHS3 Compliant","Lead free","Not Available"
"HZ0805C202R-10","Laird-Signal Integrity Products","240-2396-1-ND","I.5","FB5","Cut Tape (CT)","Active","8","0.18000","$1.44","337475","8 Weeks","FERRITE BEAD 2 KOHM 0805 1LN","RoHS Compliant","Lead free","REACH Unaffected"
"DR331-475BE","Bourns Inc.","DR331-475BECT-ND","I.6","FL101","Cut Tape (CT)","Active","3","0.95000","$2.85","4719","16 Weeks","CMC 4.7MH 200MA 2LN SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"AQ4022-01FTG-C","Littelfuse Inc.","F10399TR-ND","I.7","D101","Tape & Reel (TR)","Active","0","0.00000","$0.00","36000","Not Available","TVS DIODE 12V 35V SOD323","ROHS3 Compliant","Lead free","Not Available"
"2036-07-SMLF","Bourns Inc.","2036-07-SMLF-ND","I.8","E101","Bulk","Active","3","1.92000","$5.76","986","8 Weeks","GDT 75V 10KA 3 POLE SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRCW080510R0JNEAHP","Vishay Dale","541-10TACT-ND","I.9","R15","Cut Tape (CT)","Active","26","0.17600","$4.57","0","22 Weeks","RES SMD 10 OHM 5% 1/2W 0805","ROHS3 Compliant","Lead free","Not Available"
"RL1206FR-070R068L","Yageo","311-.068LWCT-ND","I.10","R7","Cut Tape (CT)","Active","1","0.46000","$0.46","26715","24 Weeks","RES 0.068 OHM 1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74LVC541ADBR","Texas Instruments","296-8518-1-ND","I.11","U5","Cut Tape (CT)","Active","1","0.53000","$0.53","3437","6 Weeks","IC BUF NON-INVERT 3.6V 20SSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"AD8599ARZ","Analog Devices Inc.","AD8599ARZ-ND","I.12","U101","Tube","Active","3","8.19000","$24.57","111","8 Weeks","IC OPAMP GP 2 CIRCUIT 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"CAY16-330J4LF","Bourns Inc.","CAY16-330J4LFCT-ND","I.13","RN1","Cut Tape (CT)","Active","2","0.10000","$0.20","1318","16 Weeks","RES ARRAY 4 RES 33 OHM 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"GRM2195C1H103GA01D","Murata Electronics","490-8296-1-ND","I.14","C1, C2, C32","Cut Tape (CT)","Active","7","0.47000","$3.29","5202","15 Weeks","CAP CER 10000PF 50V C0G/NP0 0805","ROHS3 Compliant","Lead free","Not Available"
"OPA27GU/2K5","Texas Instruments","296-31706-1-ND","I.15","U3","Cut Tape (CT)","Active","1","3.07000","$3.07","6950","12 Weeks","IC OPAMP GP 1 CIRCUIT 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"RK73H2BTTD2R74F","KOA Speer Electronics, Inc.","2019-RK73H2BTTD2R74FCT-ND","I.16","R6","Cut Tape (CT)","Active","1","0.10000","$0.10","17890","Not Available","RES 2.74 OHM 1% 1/4W 1206","ROHS3 Compliant","Lead free","Not Available"
"ERA-6AEB202V","Panasonic Electronic Components","P2.0KDACT-ND","I.17","R1","Cut Tape (CT)","Active","4","0.31000","$1.24","49880","13 Weeks","RES 2K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RJHSE5387","Amphenol ICC (Commercial Products)","RJHSE5387-ND","I.18","J1","Tray","Active","1","1.58000","$1.58","178","8 Weeks","CONN MOD JACK 8P8C R/A SHIELDED","RoHS Compliant","Lead free","Not Available"
