"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CC0805FRNPO0BN102","Yageo","311-3585-1-ND","I.1","C31","Cut Tape (CT)","Active","6","0.31000","$1.86","255","24 Weeks","CAP CER 1000PF 100V NPO 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0603KRX7R8BB104","Yageo","311-1341-1-ND","I.2","C18","Cut Tape (CT)","Active","17","0.04500","$0.76","9242198","20 Weeks","CAP CER 0.1UF 25V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTC2512CDKD-24#PBF","Analog Devices Inc.","LTC2512CDKD-24#PBF-ND","I.3","U102","Tube","Active","3","21.04000","$63.12","95","8 Weeks","IC ADC 24BIT SAR 24DFN","ROHS3 Compliant","Lead free","REACH Unaffected"
"HZ0805C202R-10","Laird-Signal Integrity Products","240-2396-1-ND","I.5","FB5","Cut Tape (CT)","Active","1","0.18000","$0.18","137193","8 Weeks","FERRITE BEAD 2 KOHM 0805 1LN","RoHS Compliant","Lead free","REACH Unaffected"
"CRCW080510R0JNEAHP","Vishay Dale","541-10TACT-ND","I.9","R15","Cut Tape (CT)","Active","26","0.19400","$5.04","231","24 Weeks","RES SMD 10 OHM 5% 1/2W 0805","ROHS3 Compliant","Lead free","Not Available"
"RL1206FR-070R068L","Yageo","311-.068LWCT-ND","I.10","R7","Cut Tape (CT)","Active","1","0.50000","$0.50","30227","20 Weeks","RES 0.068 OHM 1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74LVC541ADBR","Texas Instruments","296-8518-1-ND","I.11","U5","Cut Tape (CT)","Active","1","0.56000","$0.56","1491","6 Weeks","IC BUF NON-INVERT 3.6V 20SSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"AD8599ARZ","Analog Devices Inc.","AD8599ARZ-ND","I.12","U101","Tube","Active","3","8.68000","$26.04","313","8 Weeks","IC OPAMP GP 2 CIRCUIT 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"CAY16-330J4LF","Bourns Inc.","CAY16-330J4LFCT-ND","I.13","RN1","Cut Tape (CT)","Active","2","0.10000","$0.20","215903","14 Weeks","RES ARRAY 4 RES 33 OHM 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"GRM2195C1H103GA01D","Murata Electronics","490-8296-1-ND","I.14","C1, C2, C32","Cut Tape (CT)","Active","16","0.00000","$0.00","24000","24 Weeks","CAP CER 10000PF 50V C0G/NP0 0805","ROHS3 Compliant","Lead free","Not Available"
