"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"61083-104400LF","Amphenol ICC (FCI)","609-5949-ND","M.1","JX1","Tube","Active","2","7.04000","$14.08","0","13 Weeks","CONN PLUG 100POS SMD GOLD","RoHS Compliant","Lead free","Not Available"
"10018783-10102TLF","Amphenol ICC (FCI)","609-1970-ND","M.2","P2","Tray","Active","5","1.08000","$5.40","1574","15 Weeks","CONN PCI EXP FEMALE 98POS 0.039","RoHS Compliant","Lead free","Not Available"
"74AUP1G74DC,125","Nexperia USA Inc.","1727-6029-1-ND","M.3","U10","Cut Tape (CT)","Active","1","0.48000","$0.48","6638","8 Weeks","IC FF D-TYPE SNGL 1BIT 8VSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MAX6220ASA-5.0+","Maxim Integrated","MAX6220ASA-5.0+-ND","M.4","U1","Tube","Active","1","3.97000","$3.97","1711","6 Weeks","IC VREF SERIES 0.1% 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"OPA209AID","Texas Instruments","296-28030-5-ND","M.5","U2","Tube","Active","1","3.08000","$3.08","1046","6 Weeks","IC OPAMP GP 1 CIRCUIT 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"R60DF4330506AJ","KEMET","399-9672-ND","M.6","C4","Bulk","Active","2","0.91000","$1.82","786","15 Weeks","CAP FILM 3.3UF 5% 63VDC RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"AP7361C-25SP-13","Diodes Incorporated","AP7361C-25SP-13DICT-ND","M.7","U6","Cut Tape (CT)","Active","1","0.64000","$0.64","2266","23 Weeks","IC REG LINEAR 2.5V 1A 8SO","ROHS3 Compliant","Lead free","REACH Unaffected"
"DAC80004IPW","Texas Instruments","296-44598-5-ND","M.8","U8","Tube","Active","1","17.72000","$17.72","977","6 Weeks","IC DAC 16BIT V-OUT 14TSSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP1755S-5002E/DB","Microchip Technology","MCP1755S-5002E/DB-ND","I.25","U7","Tube","Active","1","0.66000","$0.66","822","13 Weeks","IC REG LINEAR 5V 300MA SOT223-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C106K4PACTU","KEMET","399-8012-1-ND","M.10","C1","Cut Tape (CT)","Active","16","0.14000","$2.24","1137859","8 Weeks","CAP CER 10UF 16V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C1210C476M4PACTU","KEMET","399-5514-1-ND","M.11","C3","Cut Tape (CT)","Active","3","1.06000","$3.18","189701","13 Weeks","CAP CER 47UF 16V X5R 1210","ROHS3 Compliant","Lead free","REACH Unaffected"
