"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"APXW003A0X3-SRZ","ABB Power Electronics Inc.","555-1245-1-ND","P.1","M1","Cut Tape (CT)","Active","3","9.27000","$27.81","4355","14 Weeks","DC DC CONVERTER 3-18V 27W","RoHS Compliant","Lead free","Not Available"
"LLL185R71E103MA01L","Murata Electronics","490-4315-1-ND","P.2","C5","Cut Tape (CT)","Active","3","0.27000","$0.81","32779","11 Weeks","CAP CER 10000PF 25V X7R 0306","ROHS3 Compliant","Lead free","Not Available"
"NRS5030T4R7MMGJV","Taiyo Yuden","587-3605-1-ND","P.3","L1","Cut Tape (CT)","Active","4","0.51000","$2.04","260340","14 Weeks","FIXED IND 4.7UH 2.6A 45.5 MOHM","ROHS3 Compliant","Lead free","Not Available"
"HI2220R301R-10","Laird-Signal Integrity Products","240-2430-1-ND","M.13","FB1","Cut Tape (CT)","Active","2","0.81000","$1.62","7663","8 Weeks","FERRITE BEAD 300 OHM 2220 1LN","RoHS Compliant","Lead free","REACH Unaffected"
"CL32B106KBJNNNE","Samsung Electro-Mechanics","1276-3387-1-ND","P.4","C1","Cut Tape (CT)","Active","13","0.41500","$5.39","249174","22 Weeks","CAP CER 10UF 50V X7R 1210","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0603C103M5RACTU","KEMET","399-7842-1-ND","P.5","C3","Cut Tape (CT)","Active","4","0.10000","$0.40","377237","8 Weeks","CAP CER 10000PF 50V X7R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"HHXD350ARA101MHA0G","United Chemi-Con","565-HHXD350ARA101MHA0GCT-ND","P.6","C21","Cut Tape (CT)","Active","1","0.89000","$0.89","0","16 Weeks","CAP ALUM HYBRD 100UF 20% 35V SMD","ROHS3 Compliant","Not Available","Not Available"
"SSW-108-02-G-D","Samtec Inc.","SAM1214-08-ND","P.7","J1","Bulk","Active","1","2.39000","$2.39","1285","Not Available","CONN RCPT 16POS 0.1 GOLD PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"0039293046","Molex","WM3844-ND","P.8","J2","Bag","Active","1","0.70000","$0.70","4999","6 Weeks","CONN HEADER VERT 4POS 4.2MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"0039012040","Molex","WM3701-ND","P.8.1","J2","Bulk","Active","1","0.31000","$0.31","118279","15 Weeks","CONN RECEPT 4POS DUAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"0039000038","Molex","WM2501CT-ND","P.8.2","J2","Cut Tape (CT)","Active","4","0.10000","$0.40","841804","3 Weeks","CONN SOCKET 18-24AWG CRIMP TIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C106K4PACTU","KEMET","399-8012-1-ND","M.10","C22","Cut Tape (CT)","Active","2","0.20000","$0.40","1133837","8 Weeks","CAP CER 10UF 16V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"06036D106MAT2A","AVX Corporation","478-5318-1-ND","M.20","C16","Cut Tape (CT)","Active","5","0.24000","$1.20","2215457","Not Available","CAP CER 10UF 6.3V X5R 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"74279220181","Würth Elektronik","732-6123-1-ND","M.36","FB3","Cut Tape (CT)","Active","6","0.32000","$1.92","4667","12 Weeks","FERRITE BEAD 180 OHM 0805 1LN","ROHS3 Compliant","Lead free","REACH Unaffected"
"0031.8201","Schurter Inc.","486-1258-ND","P.9","F1","Bulk","Active","1","0.91000","$0.91","44185","7 Weeks","FUSE BLOK CARTRIDGE 500V 10A PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"0235003.MXP","Littelfuse Inc.","F4727-ND","P9.1","F1","Bulk","Active","1","0.43000","$0.43","2606","12 Weeks","FUSE GLASS 3A 250VAC 5X20MM","ROHS3 Compliant","Lead free","Not Available"
"CRCW060316K2FKEA","Vishay Dale","541-16.2KHCT-ND","P10","R6","Cut Tape (CT)","Active","1","0.10000","$0.10","1235","15 Weeks","RES SMD 16.2K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","Not Available"
"CR0603-FX-7501ELF","Bourns Inc.","CR0603-FX-7501ELFCT-ND","P11","R2","Cut Tape (CT)","Active","1","0.10000","$0.10","43713","14 Weeks","RES SMD 7.5K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRCW060313K3FKEA","Vishay Dale","541-13.3KHCT-ND","P12","R4","Cut Tape (CT)","Active","1","0.10000","$0.10","12098","15 Weeks","RES SMD 13.3K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","Not Available"
"CRCW0603270RFKEA","Vishay Dale","541-270HCT-ND","P13","R1","Cut Tape (CT)","Active","3","0.10000","$0.30","26088","15 Weeks","RES SMD 270 OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","Not Available"
"GRM1885C1H562JA01D","Murata Electronics","490-11471-1-ND","P14","C4","Cut Tape (CT)","Active","3","0.18000","$0.54","115389","15 Weeks","CAP CER 5600PF 50V C0G/NP0 0603","ROHS3 Compliant","Lead free","Not Available"
